objname,ra,dec,bjd,rv,rv_err,fwhm,span,maxcpp,contrast,lines,sn26
HD004614,11.5447281506442,57.5428492030496,2454105.25289283,8438.95626068115,0.468516,7698.5,,28446,32.8835,4708,294.167
HD004614,11.5447281506442,57.5428492030496,2454754.54232264,8434.30995941162,0.5878030000000001,7777.49,-6.0,17447,32.2066,4737,258.621
HD004614,11.5447281506442,57.5428492030496,2454520.26290803,8446.10118865967,0.6249819999999999,7780.14,-7.33333,15366,32.1656,4708,238.63
HD004614,11.5447281506442,57.5428492030496,2456280.40452087,8490.55480957031,0.8391069999999999,7745.15,2.66667,8870,32.3557,4709,170.366
HD004614,11.5447281506442,57.5428492030496,2454740.588822,8471.96197509766,0.741493,7744.79,-8.16667,10921,32.0599,4749,197.749
HD004614,11.5447281506442,57.5428492030496,2454515.41769698,8459.20467376709,1.29811,7756.3,-2.33333,3568,31.5816,4705,110.96
HD004614,11.5447281506442,57.5428492030496,2454520.35430275,8441.01810455322,1.04233,9440.759999999998,4.5,9866,26.7058,4701,182.363
HD004614,11.5447281506442,57.5428492030496,2455936.44452153,8485.12077331543,0.763441,7735.76,-6.16667,10391,32.5184,4706,184.115
HD004614,11.5447281506442,57.5428492030496,2455936.22851685,8486.87362670898,0.792468,7734.14,-5.5,9882,32.6985,4708,177.327
HD004614,11.5447281506442,57.5428492030496,2455936.37457231,8482.74612426758,0.950962,7741.25,-4.16667,6910,32.3528,4706,149.215
HD004614,11.5447281506442,57.5428492030496,2455937.31521788,8427.90222167969,0.648895,9547.230000000001,-5.33333,27892,26.7505,4701,298.022
HD004614,11.5447281506442,57.5428492030496,2454520.33092459,8433.46786499023,0.545618,9415.87,3.16667,35560,27.1348,4701,346.298
HD004614,11.5447281506442,57.5428492030496,2454107.24263012,8418.14994812012,0.370697,7699.900000000001,,44294,33.0152,4708,369.02
HD004614,11.5447281506442,57.5428492030496,2455937.39608072,8424.93057250977,0.686072,9551.970000000001,-3.5,24588,26.6673,4701,282.595
HD004614,11.5447281506442,57.5428492030496,2454106.25482147,8411.58103942871,0.392053,7694.0,,39928,33.0495,4708,346.65
HD004614,11.5447281506442,57.5428492030496,2455937.3611177,8426.02920532227,0.880066,9559.390000000001,-4.0,15159,26.4991,4701,221.468
HD004614,11.5447281506442,57.5428492030496,2454106.21718493,8412.18566894531,0.565975,7699.5199999999995,,19856,32.6241,4708,245.343
HD004614,11.5447281506442,57.5428492030496,2454740.58088191,8473.80447387695,0.775355,7726.39,-9.16667,10156,32.3388,4749,182.377
HD004614,11.5447281506442,57.5428492030496,2454741.61392678,8470.48854827881,0.678412,7716.070000000001,-8.83333,13238,32.6604,4749,204.393
HD004614,11.5447281506442,57.5428492030496,2454520.2886703,8447.08919525146,0.6806409999999999,7844.1900000000005,-12.1667,12302,31.1978,4708,238.185
HD004614,11.5447281506442,57.5428492030496,2455936.44736857,8488.71421813965,0.738653,7742.79,-3.16667,11072,32.5002,4706,190.493
